xtal,compound_code
A71EV2A-x0450,Z100642432
A71EV2A-x0451,Z100643660
A71EV2A-x0469,Z104924088
A71EV2A-x0473,Z1082839290
A71EV2A-x0486,Z1148165337
A71EV2A-x0487,Z1148747945
A71EV2A-x0488,Z1154747269
A71EV2A-x0497,Z1198158918
A71EV2A-x0501,Z1198177230
A71EV2A-x0514,Z1201620232
A71EV2A-x0515,Z1201621547
A71EV2A-x0517,Z1203107138
A71EV2A-x0525,Z1216861874
A71EV2A-x0526,Z1217131798
A71EV2A-x0528,Z1217960891
A71EV2A-x0540,Z124039706
A71EV2A-x0541,Z1246465616
A71EV2A-x0554,Z1255459547
A71EV2A-x0556,Z1259207775
A71EV2A-x0566,Z1267800292
A71EV2A-x0571,Z1270393711
A71EV2A-x0586,Z1333043510
A71EV2A-x0269,Z1456069604
A71EV2A-x0278,Z1491353358
A71EV2A-x0305,Z1639162606
A71EV2A-x0309,Z1685106505
A71EV2A-x0310,Z1688504114
A71EV2A-x0608,Z2064898339
A71EV2A-x0691,Z285782452
A71EV2A-x0152,Z31602870
A71EV2A-x0188,Z355202286
A71EV2A-x0194,Z3664805965
A71EV2A-x0202,Z3765495818
A71EV2A-x0207,Z384361454
A71EV2A-x0211,Z385450668
A71EV2A-x0228,Z425757818
A71EV2A-x0229,Z426041412
A71EV2A-x0237,Z437516460
A71EV2A-x0239,Z438067480
A71EV2A-x0332,Z45527714
A71EV2A-x0333,Z45617795
A71EV2A-x0341,Z50145861
A71EV2A-x0351,Z53860899
A71EV2A-x0354,Z54615640
A71EV2A-x0359,Z54750053
A71EV2A-x0365,Z558511008
A71EV2A-x0375,Z56921372
A71EV2A-x0379,Z56960214
A71EV2A-x0387,Z57260516
A71EV2A-x0395,Z57472297
A71EV2A-x0396,Z57478994
A71EV2A-x0412,Z68639747
A71EV2A-x0416,Z71580604
A71EV2A-x0428,Z751811134
A71EV2A-x0432,Z760031264
A71EV2A-x0437,Z802821712
A71EV2A-x0443,Z82176792
A71EV2A-x0446,Z851110644
A71EV2A-x0717,Z94597856
A71EV2A-x0719,Z954606858
A71EV2A-x0732,Z99601600
A71EV2A-x0739,Z17497990
A71EV2A-x0812,Z1618027593
A71EV2A-x0831,Z239127534
A71EV2A-x0836,Z2574937229
A71EV2A-x0853,Z32367954
A71EV2A-x0863,Z55993012
A71EV2A-x0875,Z53825020
A71EV2A-x0884,Z198195770
A71EV2A-x0900,Z760031264
A71EV2A-x0911,Z1457921102
A71EV2A-x0922,Z19733482
A71EV2A-x0926,Z32279730
A71EV2A-x1019,NCL-00024665
A71EV2A-x1080,Z59181971
A71EV2A-x1081,Z1741976468
A71EV2A-x1084,Z1415893881
A71EV2A-x1105,Z276142580
A71EV2A-x1109,Z315923746
A71EV2A-x1128,Z57663553
A71EV2A-x1140,Z56042334
A71EV2A-x1145,Z969111002
A71EV2A-x1146,Z362043378
A71EV2A-x1148,Z1213725191
A71EV2A-x1169,Z1143441220
A71EV2A-x1180,Z1198183601
A71EV2A-x1209,Z1203730981
A71EV2A-x1247,POB0140
A71EV2A-x1255,NCL-00024387
A71EV2A-x1292,Z57473948
A71EV2A-x1293,Z362020366
A71EV2A-x1346,ASAP-0016618-001
A71EV2A-x1431,ASAP-0016685-001
A71EV2A-x1445,ASAP-0016733-001
A71EV2A-x1775,ASAP-0024999-003
A71EV2A-x1776,ASAP-0025003-002
A71EV2A-x1778,ASAP-0025240-002
A71EV2A-x1779,ASAP-0025094-002
