Molecule Name,CDD Number,SMILES,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Standard Deviation (±),SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Count,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Run Date,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Experiment Status,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Soaking time,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Crystal mounting result,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (High res shell),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Space Group,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Ligand confidence,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Fragalysis Link,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: CChalf (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: ISig(I) (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rwork,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rfree,worked
ASAP-0010739,,CC(C)[C@@H](Nc1ncnc(N)c1Cl)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,21:40:24,OK: No comment:No comment,47.4,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0010739-001/L/P/C,,,,,,True
ASAP-0000453,,CC(C)[C@H](CO)Nc1ncnc2[nH]ccc12,,,,2023-11-21,CompChem ready,21:40:24,OK: No comment:No comment,6.7,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0000453-001/L/P/C,,,,,,True
ASAP-0000495,,OC(=O)[C@H](NC(=O)c1ncnc2[nH]ccc12)c1ccc2c(c1)CCO2,,,,2023-11-21,Deposition ready,01:03:36,OK: No comment:No comment,33.0,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000495-001/L/P/C,,,,,,True
ASAP-0013389,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnc(N)nc3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,32.5,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013389-001/L/P/C,,,,,,True
ASAP-0000131,,OC(=O)c1[nH]c2ccccc2c1CNC(=O)c1ccc(NC(=O)NC2CC2)cc1,,,,2023-11-21,Deposition ready,01:16:53,OK: No comment:No comment,90.7,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000131-001/L/P/C,,,,,,True
ASAP-0013738,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(n1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,31/12/1899 21:49:27,,5.8,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013738-001/L/P/C,,,,,,True
ASAP-0013255,,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(c1)NC(=O)CO2,,,,2023-11-21,CompChem ready,,,45.1,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013255-001/L/P/C,,,,,,True
ASAP-0011207,,CC(C)[C@@H](Nc1ncnc2[nH]cc(C(=O)NC3CC3)c12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,00:05:40,,51.8,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011207-001/L/P/C,,,,,,True
ASAP-0008348,,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,01:46:00,OK: No comment:No comment,50.8,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0008348-001/L/P/C,,,,,,True
ASAP-0013388,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cn[nH]c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,,,7.9,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013388-001/L/P/C,,,,,,True
ASAP-0012318,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCO2,,,,2023-11-21,CompChem ready,00:05:40,,6.0,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012318-001/L/P/C,,,,,,True
ASAP-0008347,,O=C(O)[C@@H](CC1CC1)Nc1ncnc2[nH]ccc12,,,,2023-11-21,CompChem ready,01:29:46,OK: No comment:No comment,100.0,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0008347-001/L/P/C,,,,,,True
ASAP-0000090,,C[C@H]1OCC[C@H]1C(=O)Nc1ncnc2[nH]c(C)c(C)c12,,,,2023-11-21,Deposition ready,02:11:00,OK: No comment:No comment,25.6,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000090-001/L/P/C,,,,,,True
ASAP-0011428,,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(CC(N)=O)c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,00:04:51,,98.2,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011428-001/L/P/C,,,,,,True
ASAP-0000620,,OC(=O)C[C@@H](NC(=O)c1ccc2[nH]ccc2n1)c1ccc(Br)cc1,,,,2023-11-21,CompChem ready,01:23:20,OK: No comment:No comment,24.6,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000620-001/L/P/C,,,,,,True
ASAP-0014597,,CC(=O)N1[C@@H]2CC[C@H]1c1c(ncnc1N[C@@H](c1ccc3c(c1)S(=O)(=O)CCC3)C(C)C)C2,,,,2023-11-21,CompChem ready,,,94.3,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0014597-001/L/P/C,,,,,,True
ASAP-0000670,,OC(=O)C[C@@H](NC(=O)c1cnc2[nH]ccc2c1)c1ccc(Br)cc1,,,,2023-11-21,CompChem ready,01:17:24,OK: No comment:No comment,65.2,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000670-001/L/P/C,,,,,,True
ASAP-0000452,,CC(C)[C@@H](Nc1ncnc2[nH]ccc12)C(F)F,,,,2023-11-21,Deposition ready,01:36:07,OK: No comment:No comment,32.4,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000452-001/L/P/C,,,,,,True
ASAP-0011204,,CCNC(=O)c1cc2c(N[C@@H](c3ccc4ncn(C)c(=O)c4c3)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,00:05:40,,74.1,P 1 21 1,High confidence,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0011204-001/L/P/C,,,,,,True
