Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Other] AS2',[Other] S1,[Other] S1',[Other] S2,[Other] AS1'
Zx0709a,XX01ZVNS2B-x0709_B_301_XX01ZVNS2B-x1291+B+301+1,Z1198317053,Cc1cnc2c(cnn2CC(=O)O)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0051a,XX01ZVNS2B-x0051_B_301_XX01ZVNS2B-x1291+B+301+1,Z1201620232,COc1ccc2sc(N)nc2c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0089a,XX01ZVNS2B-x0089_B_301_XX01ZVNS2B-x1291+B+301+1,Z336080990,CC(C)Nc1nc2ccccc2[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0101a,XX01ZVNS2B-x0101_B_301_XX01ZVNS2B-x1291+B+301+1,Z68299550,CC(C)(CO)NC(=O)c1cccc(Cl)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0130a,XX01ZVNS2B-x0130_B_204_XX01ZVNS2B-x0130+B+204+1,Z57122377,CN1CCN(C(=O)c2ccc(F)c(F)c2)CC1,True,1a - XX01ZVNS2B-x0130,1 - B204,F1b - crystalform1 - XX01ZVNS2B-x0130/B/204/1,A1 - monomer,F1 - crystalform1,False,False,False,False,True
Zx0227a,XX01ZVNS2B-x0227_B_301_XX01ZVNS2B-x1291+B+301+1,POB0075,NCC1(c2ccccn2)CCCC1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0229a,XX01ZVNS2B-x0229_B_301_XX01ZVNS2B-x1291+B+301+1,POB0120,O=C1Nc2ccccc2C[C@@]12CCCN2,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0229b,XX01ZVNS2B-x0229_B_303_XX01ZVNS2B-x1291+B+301+1,POB0120,O=C1Nc2ccccc2C[C@]12CCCN2,False,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0386a,XX01ZVNS2B-x0386_B_301_XX01ZVNS2B-x1291+B+301+1,Z1962142017,NCc1cocn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0404a,XX01ZVNS2B-x0404_B_301_XX01ZVNS2B-x1291+B+301+1,Z425338146,CS(=O)(=O)c1ccc(N2CCNCC2)cc1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,True,False,False
Zx0422a,XX01ZVNS2B-x0422_B_301_XX01ZVNS2B-x1291+B+301+1,Z119990326,Nc1nnc(-c2cccs2)[nH]1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
